,sum_sq,df,F,PR(>F),pct_variance_explained
C(obstacle_shape):C(obstacle_angle_deg),0.0011016073448247177,2.0,3.465549887599918,0.03236430722697678,1.9082537364888137
C(obstacle_size_cm),0.000772017077511136,2.0,2.4286908659088886,0.0896801611107116,1.3373226673867251
C(obstacle_shape),0.00042167374161303136,1.0,2.6530894056146614,0.10427502720727477,0.7304422004741801
C(obstacle_shape):C(obstacle_size_cm),0.0006032476704253859,2.0,1.8977586762280096,0.1514887002622867,1.0449727178431079
C(obstacle_angle_deg):C(obstacle_position),0.0003061219559544504,2.0,0.963029989799691,0.3827732422372743,0.5302782057651335
C(obstacle_angle_deg),0.00016560211511486533,2.0,0.520968196262296,0.5944185578260617,0.2868634240893469
C(obstacle_size_cm):C(obstacle_position),0.00015635618020956222,2.0,0.49188138159792233,0.6119093418981065,0.27084720023856607
C(obstacle_shape):C(obstacle_position),1.4541709265081192e-05,1.0,0.09149361457304267,0.7624718128140897,0.025189802129034017
C(obstacle_size_cm):C(obstacle_angle_deg),0.00014884823941814103,4.0,0.23413106394414174,0.9190494383626917,0.2578416078776637
C(obstacle_position),3.099298931273662e-09,1.0,1.9500187818052367e-05,0.9964792214528514,5.368744856217165e-06
Residual,0.05403853780616008,340.0,,,93.60798306896257
