,sum_sq,df,F,PR(>F),pct_variance_explained
C(obstacle_angle_deg),1.3969067354589302,2.0,191.84292202145505,1.6900623236081008e-56,32.34224031141445
C(obstacle_shape):C(obstacle_angle_deg),0.642111212808555,2.0,88.18376216610005,1.4073411960304142e-31,14.86664401004933
C(obstacle_position),0.4132333780255891,1.0,113.50206381699604,4.6332404999815753e-23,9.567491427701052
C(obstacle_size_cm),0.21150856559299597,2.0,29.047337396219397,2.258048712050623e-12,4.897006136980116
C(obstacle_angle_deg):C(obstacle_position),0.19088347749738133,2.0,26.214809592627187,2.5817457888347785e-11,4.419478512050088
C(obstacle_size_cm):C(obstacle_angle_deg),0.08856068999765097,4.0,6.08120109743902,9.772587239979946e-05,2.0504240156789737
C(obstacle_size_cm):C(obstacle_position),0.0681043243497671,2.0,9.353045735915831,0.00011112917364482511,1.576802780353865
C(obstacle_shape),0.04061849093670251,1.0,11.15660736912253,0.0009303032841887806,0.9404299955145184
C(obstacle_shape):C(obstacle_size_cm),0.025881129877003015,2.0,3.554361543821919,0.029667171901761474,0.5992194759788024
C(obstacle_shape):C(obstacle_position),0.0034750819603667792,1.0,0.9544944707017766,0.3292725123517393,0.08045772349083785
Residual,1.237857214255003,340.0,,,28.65980561078797
