,sum_sq,df,F,PR(>F),pct_variance_explained
C(obstacle_shape):C(obstacle_size_cm),0.39383799618055176,2.0,6.0032519778784454,0.0027403052931852722,3.2740047679259026
C(obstacle_shape):C(obstacle_position),0.1084548673611044,1.0,3.306343741895393,0.06989265228270934,0.9015934376282042
C(obstacle_shape):C(obstacle_angle_deg),0.09591152456597231,2.0,1.4619743527438838,0.23323149363984977,0.7973196892462305
C(obstacle_size_cm):C(obstacle_angle_deg),0.16093541293402905,4.0,1.22656504118,0.29925034453202004,1.337868144729694
C(obstacle_angle_deg),0.06994031310764193,2.0,1.0660965347904208,0.34549827930161997,0.5814190626738663
C(obstacle_position),0.018264939062496915,1.0,0.5568230217304692,0.456058757432819,0.1518378068048985
C(obstacle_shape),0.0015334694444445387,1.0,0.046749189081073395,0.8289493502328305,0.012747846376606229
C(obstacle_size_cm),0.011484589930557006,2.0,0.1750590036623384,0.839483102085244,0.09547225649878578
C(obstacle_size_cm):C(obstacle_position),0.010284888541667762,2.0,0.15677201813641387,0.854960700111859,0.08549904897334927
C(obstacle_angle_deg):C(obstacle_position),0.005896703385416409,2.0,0.08988314130370251,0.9140597040233681,0.04901973701401715
Residual,11.152698503645828,340.0,,,92.71321820212845
