version,total_balls,ratio_10mm_13mm,packing_fraction,phi_after_compression,single_layer,n_trials,mean_total_N_mean,mean_total_N_std,mean_total_N_ci95,fluctuation_std_N_mean,fluctuation_std_N_std,fluctuation_std_N_ci95,frame_to_frame_rms_N_mean,frame_to_frame_rms_N_std,frame_to_frame_rms_N_ci95,peak_total_N_mean,peak_total_N_std,peak_total_N_ci95
V3,300,3:1,0.345,0.367,yes,10,15.179247083333333,0.02876188616679874,0.017826801737556422,0.10734565542394754,0.0047291146219971434,0.00293113561021737,0.15357817571860888,0.008837891869635621,0.005477782132377164,15.6049,0.05297473192213626,0.03283407901691292
V1,300,equal,0.396,0.421,yes,10,18.692688333333333,0.024674552887237678,0.015293446324511158,0.12836203499367196,0.0073041055781450205,0.004527131539866731,0.18071632766963247,0.012630063525301004,0.007828194475583103,19.1718,0.08431791690448144,0.052260786335879175
V2,300,1:3,0.447,0.475,yes,10,22.16510625,0.05140144063115565,0.03185894297204145,0.15671234579325288,0.005179552626191677,0.0032103199776565903,0.22582112252316366,0.011139750601372348,0.00690448895544714,22.7673,0.0800694837139731,0.04962758016354294
V6,400,3:1,0.46,0.49,yes,10,20.256010416666665,0.05380592487002701,0.033349257743432184,0.14622884927317972,0.005925993866992795,0.0036729690518976835,0.2075716512787674,0.010203095881157233,0.0063239443452297464,20.8172,0.11374806469660136,0.07050178091998019
V4,400,equal,0.528,0.562,yes,10,24.89132,0.06567263717217497,0.04070432222912683,0.1792804651352295,0.010938123904614476,0.006779519434072352,0.25481180440313567,0.018108805979943608,0.011223954230129047,25.5687,0.10608282927348149,0.06575081878324139
V9,500,3:1,0.576,0.612,yes,10,25.311942083333335,0.04390500440107363,0.027212603659073464,0.1804732824940037,0.006529267344262962,0.004046881826965818,0.2532886726902206,0.011250960091577819,0.006973417311596333,25.960500000000003,0.09026904231241191,0.05594933207822953
V5,400,1:3,0.596,0.634,yes,10,29.56826375,0.056369544302614594,0.034938205529757856,0.21224530607405484,0.010426708299313251,0.0064625407579060636,0.30552302547052257,0.021277803956428063,0.013188119525335544,30.407999999999998,0.1612458440463576,0.09994120956286705
V7,500,equal,0.66,0.702,yes,10,31.167147916666664,0.06305868170940081,0.03908417584806408,0.22502336289095815,0.008258442003827474,0.005118635384673962,0.3157217132312663,0.015847285321898594,0.009822249204159821,31.959899999999998,0.14875068627292695,0.09219663053857605
V12,600,3:1,0.691,0.735,yes,10,30.36621583333333,0.05133891394329028,0.031820188529394056,0.21787097452573895,0.008886603949962067,0.005507974192562908,0.3109372722504259,0.013927544022590738,0.008632381219435466,31.219899999999996,0.13023692086177235,0.08072167985257878
V8,500,1:3,0.745,0.792,yes,10,36.94728375,0.08467583341694239,0.05248262528862506,0.26618753199907796,0.015426251362985182,0.00956128965280077,0.3712326893698137,0.026050918566337216,0.01614652661060199,37.92470000000001,0.1295968535283351,0.08032496200919047
V10,600,equal,0.792,0.843,NO_partial_2nd_layer,10,37.394979166666666,0.06941936811136695,0.04302657012446985,0.2617614742388307,0.010447896889960107,0.006475673582449252,0.3634537400810397,0.021880357894026276,0.013561586325094554,38.3482,0.130235513163227,0.08072080735198098
V11,600,1:3,0.894,0.951,NO_partial_2nd_layer,10,44.39777291666667,0.10917193283612094,0.06766546500771331,0.3235736878069108,0.020154008559924774,0.012491583922250912,0.45867445906599863,0.029456616447691323,0.018257400026789813,45.54959999999999,0.2990299873479805,0.18534070634734653
