version_num,mean_outcome,std_outcome,obstacle_shape,obstacle_size_cm,obstacle_angle_deg,obstacle_position
24,0.27789912138616296,0.01377687245113502,s,7.5x2,75,middle
32,0.27600286274029306,0.013485856986729187,s,7.5x2,60,middle_back
44,0.2722508712763061,0.00919610236264804,straight,6.0x2,60,middle_back
30,0.2702109265778178,0.012362122353193209,s,9.0x2,75,middle
20,0.26940411441295914,0.014820221694588409,straight,9.0x2,60,middle
33,0.2692563638840382,0.010971867047450852,s,7.5x2,75,middle_back
34,0.26895436331548267,0.011291048576236359,s,6.0x2,45,middle_back
14,0.268887531204452,0.01254248439804511,straight,7.5x2,60,middle
25,0.2687449260229743,0.009926593351466614,s,6.0x2,45,middle
26,0.26858763339578867,0.015762759411516527,s,6.0x2,60,middle
23,0.2681166372193674,0.013305602089113865,s,7.5x2,60,middle
39,0.26811208079775667,0.015400232140464811,s,9.0x2,75,middle_back
45,0.26808331038881883,0.010767049351024408,straight,6.0x2,75,middle_back
27,0.26778838410745726,0.01186763716681503,s,6.0x2,75,middle
31,0.2673104112422221,0.012826056878888771,s,7.5x2,45,middle_back
13,0.26687592020037526,0.01301544235783733,straight,7.5x2,45,middle
46,0.26680587481932994,0.010427618074355091,straight,9.0x2,45,middle_back
35,0.2667684025707049,0.011089359017124205,s,6.0x2,60,middle_back
19,0.26622284638103605,0.009336056345407892,straight,9.0x2,45,middle
40,0.26548570918620806,0.01175550310133343,straight,7.5x2,45,middle_back
47,0.2654703867048157,0.010938518263358664,straight,9.0x2,60,middle_back
15,0.26496776857832677,0.009768640393273518,straight,7.5x2,75,middle
43,0.26493765521790374,0.015884565461767863,straight,6.0x2,45,middle_back
41,0.26459047792519697,0.012238996787934124,straight,7.5x2,60,middle_back
16,0.2645219367973556,0.01566733380931525,straight,6.0x2,45,middle
22,0.2640989592772018,0.012925191868476916,s,7.5x2,45,middle
18,0.2635489877587428,0.017225570258642863,straight,6.0x2,75,middle
38,0.2634020460620351,0.012089024042545644,s,9.0x2,60,middle_back
36,0.26281624355624666,0.014596439294405412,s,6.0x2,75,middle_back
28,0.2613011982357499,0.0179089555131293,s,9.0x2,45,middle
17,0.2612985656041222,0.008829792363408575,straight,6.0x2,60,middle
48,0.26116450221831494,0.008237566190988605,straight,9.0x2,75,middle_back
37,0.2602226854757882,0.00887769965396642,s,9.0x2,45,middle_back
29,0.2596625292360795,0.014441573715624613,s,9.0x2,60,middle
42,0.25819341903191856,0.00925278595877208,straight,7.5x2,75,middle_back
21,0.25758405106231586,0.009632625383981892,straight,9.0x2,75,middle
