version_num,mean_outcome,std_outcome,obstacle_shape,obstacle_size_cm,obstacle_angle_deg,obstacle_position
16,0.9051698542675011,0.010764820696130434,straight,6.0x2,45,middle
28,0.8934268856892171,0.015507045447336608,s,9.0x2,45,middle
40,0.8924063213495941,0.013168893624283695,straight,7.5x2,45,middle_back
13,0.8921868691989685,0.020677590497490884,straight,7.5x2,45,middle
19,0.8914763778895882,0.014204549274497899,straight,9.0x2,45,middle
43,0.8896758065468034,0.02293900340846592,straight,6.0x2,45,middle_back
37,0.889383588783239,0.03077659350924287,s,9.0x2,45,middle_back
46,0.8878428229635957,0.01726593306352422,straight,9.0x2,45,middle_back
22,0.8850848968911285,0.02442715438884726,s,7.5x2,45,middle
34,0.884034148475924,0.02332198093194315,s,6.0x2,45,middle_back
27,0.8754464096097099,0.03141900957973163,s,6.0x2,75,middle
25,0.8723120357646363,0.06333210579548532,s,6.0x2,45,middle
24,0.8518749124849215,0.019655950760302954,s,7.5x2,75,middle
36,0.8460469666795328,0.05145687422577334,s,6.0x2,75,middle_back
17,0.8430155594521164,0.024715295567644336,straight,6.0x2,60,middle
30,0.8424183781272765,0.07228964436815198,s,9.0x2,75,middle
39,0.8367335770695774,0.03415626209213778,s,9.0x2,75,middle_back
31,0.8343327828787869,0.09677702561958434,s,7.5x2,45,middle_back
20,0.8309435934713877,0.04348673301085365,straight,9.0x2,60,middle
21,0.8309104792961426,0.027556369927064298,straight,9.0x2,75,middle
18,0.8279464492874068,0.03557103924014806,straight,6.0x2,75,middle
14,0.8218876550801012,0.029589513885647397,straight,7.5x2,60,middle
44,0.7887143966644447,0.029347562913526207,straight,6.0x2,60,middle_back
33,0.7868610301731384,0.04260502913777733,s,7.5x2,75,middle_back
15,0.7808311918154152,0.042266777624830824,straight,7.5x2,75,middle
26,0.779257062657211,0.08091812505173335,s,6.0x2,60,middle
29,0.7698982842183897,0.035195616195475704,s,9.0x2,60,middle
45,0.7691934231238576,0.06576489547586507,straight,6.0x2,75,middle_back
47,0.7565669206419828,0.06447217367053315,straight,9.0x2,60,middle_back
41,0.7346917442246415,0.050066184356909973,straight,7.5x2,60,middle_back
35,0.7194475330591898,0.08811493579225232,s,6.0x2,60,middle_back
23,0.7193759667055951,0.03325807146203729,s,7.5x2,60,middle
48,0.6917524728922271,0.04907323168710398,straight,9.0x2,75,middle_back
42,0.659604561111397,0.12102483381583042,straight,7.5x2,75,middle_back
38,0.5934283144146008,0.087639033582373,s,9.0x2,60,middle_back
32,0.43305790007898953,0.11945851765858424,s,7.5x2,60,middle_back
