version_num,mean_outcome,std_outcome,obstacle_shape,obstacle_size_cm,obstacle_angle_deg,obstacle_position
47,0.768099999999999,0.36332783730552665,straight,9.0x2,60,middle_back
34,0.7669499999999992,0.21327723220676317,s,6.0x2,45,middle_back
25,0.6980624999999996,0.23543799497780074,s,6.0x2,45,middle
20,0.6817250000000001,0.1877966246294703,straight,9.0x2,60,middle
46,0.6799625000000006,0.2855220185734844,straight,9.0x2,45,middle_back
32,0.6669874999999983,0.17975925692822928,s,7.5x2,60,middle_back
22,0.6648875000000004,0.1609104570051645,s,7.5x2,45,middle
44,0.6628124999999983,0.16874701900659303,straight,6.0x2,60,middle_back
26,0.6417999999999993,0.1255935104259413,s,6.0x2,60,middle
23,0.6414374999999979,0.16150761344713527,s,7.5x2,60,middle
48,0.6319499999999998,0.11039954584246316,straight,9.0x2,75,middle_back
27,0.6298874999999988,0.14580809841192144,s,6.0x2,75,middle
40,0.6283999999999985,0.2905015526349791,straight,7.5x2,45,middle_back
21,0.627075000000002,0.158020757251135,straight,9.0x2,75,middle
43,0.6083374999999996,0.18993340435604678,straight,6.0x2,45,middle_back
31,0.6068624999999976,0.179316637330759,s,7.5x2,45,middle_back
24,0.6065624999999976,0.23649610381157432,s,7.5x2,75,middle
28,0.6054000000000002,0.22151148076592378,s,9.0x2,45,middle
39,0.6045000000000009,0.1294159690901997,s,9.0x2,75,middle_back
30,0.5947249999999983,0.11561557469091646,s,9.0x2,75,middle
33,0.5909124999999975,0.1906094214945827,s,7.5x2,75,middle_back
16,0.5886500000000027,0.15764625925011772,straight,6.0x2,45,middle
35,0.5874250000000011,0.21031335912817847,s,6.0x2,60,middle_back
14,0.5867750000000015,0.12073656757585798,straight,7.5x2,60,middle
45,0.5836874999999992,0.12827611346124593,straight,6.0x2,75,middle_back
42,0.5835375000000006,0.12214080060983411,straight,7.5x2,75,middle_back
17,0.5826875000000001,0.09615901634070087,straight,6.0x2,60,middle
13,0.5818999999999981,0.12022033879968475,straight,7.5x2,45,middle
36,0.5708374999999997,0.13315904037924972,s,6.0x2,75,middle_back
41,0.5672624999999997,0.13522927354537975,straight,7.5x2,60,middle_back
15,0.5660250000000004,0.14985069884536614,straight,7.5x2,75,middle
29,0.5402249999999974,0.18724222836564597,s,9.0x2,60,middle
19,0.5349125000000001,0.196763932956474,straight,9.0x2,45,middle
38,0.533087500000002,0.15723521669160387,s,9.0x2,60,middle_back
18,0.5236625000000004,0.16179569646882774,straight,6.0x2,75,middle
37,0.5112125000000013,0.1281017804163282,s,9.0x2,45,middle_back
