group1,group2,meandiff,p-adj,lower,upper,reject
13,14,-0.0703,0.5384,-0.1636,0.023,False
13,15,-0.1114,0.0028,-0.2046,-0.0181,True
13,16,0.013,1.0,-0.0803,0.1063,False
13,17,-0.0492,0.987,-0.1425,0.0441,False
13,18,-0.0642,0.7397,-0.1575,0.0291,False
13,19,-0.0007,1.0,-0.094,0.0926,False
13,20,-0.0612,0.8238,-0.1545,0.032,False
13,21,-0.0613,0.823,-0.1546,0.032,False
13,22,-0.0071,1.0,-0.1004,0.0862,False
13,23,-0.1728,0.0,-0.2661,-0.0795,True
13,24,-0.0403,0.9996,-0.1336,0.053,False
13,25,-0.0199,1.0,-0.1132,0.0734,False
13,26,-0.1129,0.0021,-0.2062,-0.0196,True
13,27,-0.0167,1.0,-0.11,0.0766,False
13,28,0.0012,1.0,-0.0921,0.0945,False
13,29,-0.1223,0.0004,-0.2156,-0.029,True
13,30,-0.0498,0.9845,-0.1431,0.0435,False
13,31,-0.0579,0.8981,-0.1511,0.0354,False
13,32,-0.4591,0.0,-0.5524,-0.3658,True
13,33,-0.1053,0.008,-0.1986,-0.012,True
13,34,-0.0082,1.0,-0.1014,0.0851,False
13,35,-0.1727,0.0,-0.266,-0.0794,True
13,36,-0.0461,0.9953,-0.1394,0.0472,False
13,37,-0.0028,1.0,-0.0961,0.0905,False
13,38,-0.2988,0.0,-0.392,-0.2055,True
13,39,-0.0555,0.9361,-0.1487,0.0378,False
13,40,0.0002,1.0,-0.0931,0.0935,False
13,41,-0.1575,0.0,-0.2508,-0.0642,True
13,42,-0.2326,0.0,-0.3259,-0.1393,True
13,43,-0.0025,1.0,-0.0958,0.0908,False
13,44,-0.1035,0.0108,-0.1968,-0.0102,True
13,45,-0.123,0.0003,-0.2163,-0.0297,True
13,46,-0.0043,1.0,-0.0976,0.0889,False
13,47,-0.1356,0.0,-0.2289,-0.0423,True
13,48,-0.2004,0.0,-0.2937,-0.1071,True
14,15,-0.0411,0.9994,-0.1343,0.0522,False
14,16,0.0833,0.1732,-0.01,0.1766,False
14,17,0.0211,1.0,-0.0722,0.1144,False
14,18,0.0061,1.0,-0.0872,0.0993,False
14,19,0.0696,0.5628,-0.0237,0.1629,False
14,20,0.0091,1.0,-0.0842,0.1023,False
14,21,0.009,1.0,-0.0843,0.1023,False
14,22,0.0632,0.7707,-0.0301,0.1565,False
14,23,-0.1025,0.0126,-0.1958,-0.0092,True
14,24,0.03,1.0,-0.0633,0.1233,False
14,25,0.0504,0.9813,-0.0429,0.1437,False
14,26,-0.0426,0.9988,-0.1359,0.0507,False
14,27,0.0536,0.958,-0.0397,0.1468,False
14,28,0.0715,0.4959,-0.0218,0.1648,False
14,29,-0.052,0.9715,-0.1453,0.0413,False
14,30,0.0205,1.0,-0.0728,0.1138,False
14,31,0.0124,1.0,-0.0808,0.1057,False
14,32,-0.3888,0.0,-0.4821,-0.2955,True
14,33,-0.035,1.0,-0.1283,0.0583,False
14,34,0.0621,0.8001,-0.0311,0.1554,False
14,35,-0.1024,0.0128,-0.1957,-0.0091,True
14,36,0.0242,1.0,-0.0691,0.1175,False
14,37,0.0675,0.6344,-0.0258,0.1608,False
14,38,-0.2285,0.0,-0.3218,-0.1352,True
14,39,0.0148,1.0,-0.0784,0.1081,False
14,40,0.0705,0.5308,-0.0228,0.1638,False
14,41,-0.0872,0.1103,-0.1805,0.0061,False
14,42,-0.1623,0.0,-0.2556,-0.069,True
14,43,0.0678,0.6245,-0.0255,0.1611,False
14,44,-0.0332,1.0,-0.1265,0.0601,False
14,45,-0.0527,0.9659,-0.146,0.0406,False
14,46,0.066,0.6856,-0.0273,0.1592,False
14,47,-0.0653,0.706,-0.1586,0.028,False
14,48,-0.1301,0.0001,-0.2234,-0.0368,True
15,16,0.1243,0.0002,0.031,0.2176,True
15,17,0.0622,0.7991,-0.0311,0.1555,False
15,18,0.0471,0.9933,-0.0462,0.1404,False
15,19,0.1106,0.0032,0.0174,0.2039,True
15,20,0.0501,0.9829,-0.0432,0.1434,False
15,21,0.0501,0.983,-0.0432,0.1434,False
15,22,0.1043,0.0095,0.011,0.1975,True
15,23,-0.0615,0.8184,-0.1547,0.0318,False
15,24,0.071,0.5128,-0.0222,0.1643,False
15,25,0.0915,0.0639,-0.0018,0.1848,False
15,26,-0.0016,1.0,-0.0949,0.0917,False
15,27,0.0946,0.0416,0.0013,0.1879,True
15,28,0.1126,0.0023,0.0193,0.2059,True
15,29,-0.0109,1.0,-0.1042,0.0824,False
15,30,0.0616,0.815,-0.0317,0.1549,False
15,31,0.0535,0.9586,-0.0398,0.1468,False
15,32,-0.3478,0.0,-0.4411,-0.2545,True
15,33,0.006,1.0,-0.0873,0.0993,False
15,34,0.1032,0.0113,0.0099,0.1965,True
15,35,-0.0614,0.8203,-0.1547,0.0319,False
15,36,0.0652,0.7094,-0.0281,0.1585,False
15,37,0.1086,0.0046,0.0153,0.2018,True
15,38,-0.1874,0.0,-0.2807,-0.0941,True
15,39,0.0559,0.9299,-0.0374,0.1492,False
15,40,0.1116,0.0027,0.0183,0.2049,True
15,41,-0.0461,0.9953,-0.1394,0.0472,False
15,42,-0.1212,0.0005,-0.2145,-0.0279,True
15,43,0.1088,0.0044,0.0156,0.2021,True
15,44,0.0079,1.0,-0.0854,0.1012,False
15,45,-0.0116,1.0,-0.1049,0.0817,False
15,46,0.107,0.006,0.0137,0.2003,True
15,47,-0.0243,1.0,-0.1176,0.069,False
15,48,-0.0891,0.0873,-0.1824,0.0042,False
16,17,-0.0622,0.7999,-0.1554,0.0311,False
16,18,-0.0772,0.3166,-0.1705,0.0161,False
16,19,-0.0137,1.0,-0.107,0.0796,False
16,20,-0.0742,0.4071,-0.1675,0.0191,False
16,21,-0.0743,0.406,-0.1676,0.019,False
16,22,-0.0201,1.0,-0.1134,0.0732,False
16,23,-0.1858,0.0,-0.2791,-0.0925,True
16,24,-0.0533,0.9605,-0.1466,0.04,False
16,25,-0.0329,1.0,-0.1261,0.0604,False
16,26,-0.1259,0.0002,-0.2192,-0.0326,True
16,27,-0.0297,1.0,-0.123,0.0636,False
16,28,-0.0117,1.0,-0.105,0.0815,False
16,29,-0.1353,0.0,-0.2286,-0.042,True
16,30,-0.0628,0.7834,-0.156,0.0305,False
16,31,-0.0708,0.5199,-0.1641,0.0225,False
16,32,-0.4721,0.0,-0.5654,-0.3788,True
16,33,-0.1183,0.0008,-0.2116,-0.025,True
16,34,-0.0211,1.0,-0.1144,0.0722,False
16,35,-0.1857,0.0,-0.279,-0.0924,True
16,36,-0.0591,0.8731,-0.1524,0.0342,False
16,37,-0.0158,1.0,-0.1091,0.0775,False
16,38,-0.3117,0.0,-0.405,-0.2185,True
16,39,-0.0684,0.6024,-0.1617,0.0249,False
16,40,-0.0128,1.0,-0.1061,0.0805,False
16,41,-0.1705,0.0,-0.2638,-0.0772,True
16,42,-0.2456,0.0,-0.3389,-0.1523,True
16,43,-0.0155,1.0,-0.1088,0.0778,False
16,44,-0.1165,0.0011,-0.2097,-0.0232,True
16,45,-0.136,0.0,-0.2293,-0.0427,True
16,46,-0.0173,1.0,-0.1106,0.076,False
16,47,-0.1486,0.0,-0.2419,-0.0553,True
16,48,-0.2134,0.0,-0.3067,-0.1201,True
17,18,-0.0151,1.0,-0.1084,0.0782,False
17,19,0.0485,0.9896,-0.0448,0.1418,False
17,20,-0.0121,1.0,-0.1054,0.0812,False
17,21,-0.0121,1.0,-0.1054,0.0812,False
17,22,0.0421,0.9991,-0.0512,0.1354,False
17,23,-0.1236,0.0003,-0.2169,-0.0303,True
17,24,0.0089,1.0,-0.0844,0.1022,False
17,25,0.0293,1.0,-0.064,0.1226,False
17,26,-0.0638,0.7543,-0.157,0.0295,False
17,27,0.0324,1.0,-0.0609,0.1257,False
17,28,0.0504,0.9814,-0.0429,0.1437,False
17,29,-0.0731,0.4431,-0.1664,0.0202,False
17,30,-0.0006,1.0,-0.0939,0.0927,False
17,31,-0.0087,1.0,-0.102,0.0846,False
17,32,-0.41,0.0,-0.5032,-0.3167,True
17,33,-0.0562,0.9262,-0.1494,0.0371,False
17,34,0.041,0.9994,-0.0523,0.1343,False
17,35,-0.1236,0.0003,-0.2169,-0.0303,True
17,36,0.003,1.0,-0.0903,0.0963,False
17,37,0.0464,0.9948,-0.0469,0.1397,False
17,38,-0.2496,0.0,-0.3429,-0.1563,True
17,39,-0.0063,1.0,-0.0996,0.087,False
17,40,0.0494,0.9862,-0.0439,0.1427,False
17,41,-0.1083,0.0048,-0.2016,-0.015,True
17,42,-0.1834,0.0,-0.2767,-0.0901,True
17,43,0.0467,0.9943,-0.0466,0.14,False
17,44,-0.0543,0.9502,-0.1476,0.039,False
17,45,-0.0738,0.4201,-0.1671,0.0195,False
17,46,0.0448,0.9971,-0.0485,0.1381,False
17,47,-0.0864,0.1206,-0.1797,0.0068,False
17,48,-0.1513,0.0,-0.2446,-0.058,True
18,19,0.0635,0.761,-0.0298,0.1568,False
18,20,0.003,1.0,-0.0903,0.0963,False
18,21,0.003,1.0,-0.0903,0.0963,False
18,22,0.0571,0.9107,-0.0362,0.1504,False
18,23,-0.1086,0.0046,-0.2019,-0.0153,True
18,24,0.0239,1.0,-0.0694,0.1172,False
18,25,0.0444,0.9976,-0.0489,0.1377,False
18,26,-0.0487,0.9888,-0.142,0.0446,False
18,27,0.0475,0.9924,-0.0458,0.1408,False
18,28,0.0655,0.7009,-0.0278,0.1588,False
18,29,-0.058,0.8945,-0.1513,0.0352,False
18,30,0.0145,1.0,-0.0788,0.1078,False
18,31,0.0064,1.0,-0.0869,0.0997,False
18,32,-0.3949,0.0,-0.4882,-0.3016,True
18,33,-0.0411,0.9994,-0.1344,0.0522,False
18,34,0.0561,0.9272,-0.0372,0.1494,False
18,35,-0.1085,0.0047,-0.2018,-0.0152,True
18,36,0.0181,1.0,-0.0752,0.1114,False
18,37,0.0614,0.8189,-0.0319,0.1547,False
18,38,-0.2345,0.0,-0.3278,-0.1412,True
18,39,0.0088,1.0,-0.0845,0.1021,False
18,40,0.0645,0.733,-0.0288,0.1578,False
18,41,-0.0933,0.0503,-0.1865,0.0,False
18,42,-0.1683,0.0,-0.2616,-0.0751,True
18,43,0.0617,0.8113,-0.0316,0.155,False
18,44,-0.0392,0.9998,-0.1325,0.0541,False
18,45,-0.0588,0.8807,-0.152,0.0345,False
18,46,0.0599,0.8562,-0.0334,0.1532,False
18,47,-0.0714,0.5014,-0.1647,0.0219,False
18,48,-0.1362,0.0,-0.2295,-0.0429,True
19,20,-0.0605,0.8414,-0.1538,0.0328,False
19,21,-0.0606,0.8406,-0.1539,0.0327,False
19,22,-0.0064,1.0,-0.0997,0.0869,False
19,23,-0.1721,0.0,-0.2654,-0.0788,True
19,24,-0.0396,0.9997,-0.1329,0.0537,False
19,25,-0.0192,1.0,-0.1125,0.0741,False
19,26,-0.1122,0.0024,-0.2055,-0.0189,True
19,27,-0.016,1.0,-0.1093,0.0773,False
19,28,0.002,1.0,-0.0913,0.0952,False
19,29,-0.1216,0.0004,-0.2149,-0.0283,True
