version,total_balls,ratio_10mm_13mm,n_10mm,n_13mm,packing_fraction,phi_after_compression,single_layer,ball_mass_kg,expected_total_N,obstacle_shape,obstacle_size_cm,obstacle_angle_deg,obstacle_position,trials
V1,300,equal,150,150,0.396,0.421,yes,1.925,18.88,none,none,none,none,10
V2,300,1:3,75,225,0.447,0.475,yes,2.285,22.41,none,none,none,none,10
V3,300,3:1,225,75,0.345,0.367,yes,1.565,15.34,none,none,none,none,10
V4,400,equal,200,200,0.528,0.562,yes,2.567,25.17,none,none,none,none,10
V5,400,1:3,100,300,0.596,0.634,yes,3.047,29.88,none,none,none,none,10
V6,400,3:1,300,100,0.46,0.49,yes,2.086,20.46,none,none,none,none,10
V7,500,equal,250,250,0.66,0.702,yes,3.208,31.46,none,none,none,none,10
V8,500,1:3,125,375,0.745,0.792,yes,3.809,37.35,none,none,none,none,10
V9,500,3:1,375,125,0.576,0.612,yes,2.608,25.57,none,none,none,none,10
V10,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,none,none,none,none,10
V11,600,1:3,150,450,0.894,0.951,NO_partial_2nd_layer,4.571,44.82,none,none,none,none,10
V12,600,3:1,450,150,0.691,0.735,yes,3.129,30.69,none,none,none,none,10
V13,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,straight,7.5x2,45,middle,10
V14,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,straight,7.5x2,60,middle,10
V15,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,straight,7.5x2,75,middle,10
V16,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,straight,6.0x2,45,middle,10
V17,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,straight,6.0x2,60,middle,10
V18,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,straight,6.0x2,75,middle,10
V19,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,straight,9.0x2,45,middle,10
V20,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,straight,9.0x2,60,middle,10
V21,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,straight,9.0x2,75,middle,10
V22,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,s,7.5x2,45,middle,10
V23,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,s,7.5x2,60,middle,10
V24,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,s,7.5x2,75,middle,10
V25,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,s,6.0x2,45,middle,10
V26,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,s,6.0x2,60,middle,10
V27,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,s,6.0x2,75,middle,10
V28,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,s,9.0x2,45,middle,10
V29,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,s,9.0x2,60,middle,10
V30,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,s,9.0x2,75,middle,10
V31,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,s,7.5x2,45,middle_back,10
V32,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,s,7.5x2,60,middle_back,10
V33,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,s,7.5x2,75,middle_back,10
V34,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,s,6.0x2,45,middle_back,10
V35,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,s,6.0x2,60,middle_back,10
V36,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,s,6.0x2,75,middle_back,10
V37,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,s,9.0x2,45,middle_back,10
V38,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,s,9.0x2,60,middle_back,10
V39,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,s,9.0x2,75,middle_back,10
V40,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,straight,7.5x2,45,middle_back,10
V41,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,straight,7.5x2,60,middle_back,10
V42,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,straight,7.5x2,75,middle_back,10
V43,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,straight,6.0x2,45,middle_back,10
V44,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,straight,6.0x2,60,middle_back,10
V45,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,straight,6.0x2,75,middle_back,10
V46,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,straight,9.0x2,45,middle_back,10
V47,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,straight,9.0x2,60,middle_back,10
V48,600,equal,300,300,0.792,0.843,NO_partial_2nd_layer,3.85,37.76,straight,9.0x2,75,middle_back,10
