time_ms,Back_L_N,Back_R_N,Middle_L_N,Middle_R_N,Front_L_N,Front_R_N,Total_N
0,6.211,6.266,6.301,6.474,6.227,6.545,38.024
125,6.273,6.069,6.083,6.338,6.019,6.467,37.249
250,6.275,6.406,6.232,6.448,6.034,6.492,37.887
375,6.379,6.491,6.142,6.374,6.019,6.344,37.749
500,6.449,6.45,6.237,6.295,6.172,6.665,38.268
625,6.319,6.286,6.123,6.283,6.153,6.436,37.6
750,6.16,6.298,6.209,6.497,6.28,6.646,38.09
875,6.143,6.325,6.303,6.403,6.149,6.529,37.852
1000,6.298,6.349,6.293,6.368,6.027,6.52,37.855
1125,6.231,6.398,6.471,6.328,6.127,6.456,38.011
1250,6.058,6.31,6.259,6.401,6.057,6.385,37.47
1375,6.294,6.352,6.199,6.443,6.13,6.572,37.99
1500,6.165,6.447,6.16,6.306,6.292,6.408,37.778
1625,6.225,6.362,6.195,6.405,6.12,6.471,37.778
1750,6.24,6.237,6.28,6.452,6.145,6.565,37.919
1875,6.153,6.392,6.241,6.326,6.073,6.589,37.774
2000,6.328,6.283,6.122,6.23,6.083,6.387,37.433
2125,6.335,6.44,6.442,6.142,5.918,6.328,37.605
2250,5.96,6.442,6.209,6.456,6.039,6.449,37.555
2375,6.012,6.216,6.21,6.281,6.25,6.496,37.465
2500,6.033,6.275,6.106,6.408,5.842,6.35,37.014
2625,5.945,6.415,6.246,6.281,6.208,6.538,37.633
2750,6.038,6.287,6.172,6.337,6.264,6.531,37.629
2875,6.359,6.314,6.135,6.301,5.97,6.513,37.592
3000,6.052,6.275,6.261,6.351,6.182,6.428,37.549
3125,6.196,6.406,6.346,6.261,6.091,6.587,37.887
3250,6.25,6.435,6.058,6.372,6.128,6.469,37.712
3375,6.023,6.35,6.289,6.247,6.114,6.285,37.308
3500,5.961,6.467,6.28,6.236,6.238,6.526,37.708
3625,6.189,6.33,6.387,6.462,6.2,6.404,37.972
3750,6.328,6.333,6.077,6.34,6.054,6.478,37.61
3875,6.182,6.182,6.301,6.26,6.212,6.493,37.63
4000,6.057,6.111,6.08,6.275,5.963,6.624,37.11
4125,6.189,6.336,6.354,6.378,6.261,6.573,38.091
4250,6.195,6.345,6.288,6.297,6.288,6.362,37.775
4375,6.238,6.279,6.148,6.453,6.19,6.58,37.888
4500,6.254,6.35,6.164,6.334,6.152,6.764,38.018
4625,6.298,6.405,6.082,6.447,6.294,6.527,38.053
4750,6.048,6.35,6.388,6.517,6.047,6.49,37.84
4875,6.278,6.296,6.134,6.307,5.896,6.562,37.473
5000,6.167,6.161,6.22,6.322,5.957,6.396,37.223
5125,6.108,6.289,6.135,6.382,6.042,6.409,37.365
5250,6.307,6.363,6.338,6.328,6.228,6.539,38.103
5375,6.015,6.252,6.146,6.486,6.102,6.471,37.472
5500,6.001,6.211,6.474,6.216,6.052,6.716,37.67
5625,6.211,6.241,6.41,6.197,6.098,6.436,37.593
5750,6.357,6.375,6.26,6.19,6.224,6.588,37.994
5875,6.155,6.33,6.32,6.31,6.349,6.544,38.008
6000,6.014,6.43,6.197,6.327,6.06,6.514,37.542
6125,6.127,6.193,6.166,6.293,5.991,6.452,37.222
6250,6.083,6.067,6.168,6.191,6.217,6.589,37.315
6375,6.146,6.275,5.92,6.252,6.203,6.916,37.712
6500,6.394,6.333,6.222,6.428,6.163,6.434,37.974
6625,6.06,6.291,6.25,6.557,5.942,6.416,37.516
6750,6.002,6.203,6.127,6.513,6.104,6.533,37.482
6875,6.087,6.287,6.0,6.384,6.076,6.524,37.358
7000,5.994,6.326,6.19,6.162,6.338,6.479,37.489
7125,6.172,6.129,6.103,6.284,6.374,6.59,37.652
7250,6.081,6.144,6.201,6.278,6.236,6.705,37.645
7375,6.289,6.14,6.305,6.401,6.242,6.294,37.671
7500,6.064,6.133,6.081,6.422,6.02,6.457,37.177
7625,6.014,6.213,6.149,6.327,6.17,6.389,37.262
7750,5.949,6.366,6.355,6.366,6.173,6.525,37.734
7875,6.052,6.14,5.999,6.531,6.077,6.49,37.289
8000,6.095,6.302,6.233,6.234,6.106,6.735,37.705
8125,6.046,6.089,6.029,6.229,6.289,6.81,37.492
8250,5.923,6.108,6.345,6.458,6.025,6.654,37.513
8375,6.263,6.33,6.22,6.284,6.238,6.526,37.861
8500,6.069,6.333,6.342,6.256,6.435,6.659,38.094
8625,6.005,6.379,6.093,6.285,6.202,6.65,37.614
8750,6.045,6.276,6.077,6.4,6.196,6.709,37.703
8875,6.155,6.199,5.986,6.2,6.285,6.566,37.391
9000,5.931,6.165,6.215,6.379,6.154,6.71,37.554
9125,6.064,6.299,6.233,6.279,6.222,6.602,37.699
9250,6.052,6.094,6.068,6.311,6.129,6.547,37.201
9375,5.918,6.251,6.111,6.294,6.084,6.515,37.173
9500,5.947,6.156,6.281,6.209,6.195,6.572,37.36
9625,6.03,6.229,6.203,6.404,6.304,6.728,37.898
9750,6.091,6.163,5.968,6.289,6.233,6.517,37.261
9875,6.029,6.035,6.156,6.527,6.205,6.747,37.699
10000,6.047,6.325,6.241,6.415,6.409,6.522,37.959
10125,5.999,5.975,6.123,6.327,6.152,6.491,37.067
10250,5.952,6.041,6.321,6.474,6.276,6.573,37.637
10375,5.944,6.163,6.171,6.337,6.147,6.692,37.454
10500,5.899,6.093,6.244,6.229,6.363,6.532,37.36
10625,6.006,6.15,6.277,6.243,6.068,6.672,37.416
10750,5.951,6.201,6.163,6.449,6.305,6.655,37.724
10875,6.089,6.03,6.115,6.341,6.205,6.66,37.44
11000,5.99,6.142,6.101,6.358,6.276,6.498,37.365
11125,6.189,6.058,6.163,6.379,6.245,6.483,37.517
11250,6.061,6.17,6.0,6.267,6.099,6.599,37.196
11375,6.153,6.069,6.218,6.421,6.265,6.587,37.713
11500,6.038,6.113,6.085,6.326,6.386,6.728,37.676
11625,5.896,5.999,6.234,6.18,6.284,6.819,37.412
11750,6.068,6.047,6.098,6.344,6.274,6.742,37.573
11875,5.855,6.13,6.405,6.409,6.184,6.721,37.704
12000,6.076,6.27,6.042,6.36,6.155,6.562,37.465
12125,6.098,6.159,5.967,6.116,6.138,6.548,37.026
12250,6.078,6.118,6.284,6.531,6.133,6.51,37.654
12375,5.916,6.223,6.117,6.276,6.294,6.784,37.61
12500,6.017,6.069,5.975,6.617,6.361,6.465,37.504
12625,5.963,5.895,6.43,6.287,6.142,6.647,37.364
12750,5.886,6.005,6.159,6.279,6.275,6.61,37.214
12875,5.934,6.093,6.385,6.488,6.228,6.852,37.98
13000,6.011,6.145,6.285,6.232,6.131,6.68,37.484
13125,6.007,6.107,6.094,6.382,6.253,6.789,37.632
13250,6.154,6.065,6.019,6.289,6.374,6.872,37.773
13375,5.83,5.975,6.221,6.487,6.306,6.706,37.525
13500,5.988,5.937,5.849,6.415,6.092,6.82,37.101
13625,6.12,6.052,6.141,5.964,6.19,6.692,37.159
13750,5.867,5.925,6.156,6.451,6.241,6.58,37.22
13875,5.977,6.241,6.242,6.285,6.282,6.636,37.663
14000,5.805,6.137,6.005,6.352,6.209,6.467,36.975
14125,5.928,6.094,6.121,6.244,6.185,6.59,37.162
14250,5.814,5.98,6.337,6.038,6.442,6.563,37.174
14375,5.862,6.182,6.013,6.277,6.24,6.7,37.274
